x,y,method,coefficient,p_value,n,significant,observation_mode
compliance_score,success_rate,spearman,0.3621,0.0,196,True,accessibility_tree
compliance_score,avg_steps,spearman,-0.2499,0.000411,196,True,accessibility_tree
compliance_score,avg_duration,spearman,0.0146,0.83889,196,False,accessibility_tree
violation_rate,success_rate,spearman,-0.3621,0.0,196,True,accessibility_tree
violation_rate,avg_steps,spearman,0.2499,0.000411,196,True,accessibility_tree
violation_rate,avg_duration,spearman,-0.0146,0.83889,196,False,accessibility_tree
wab_score,success_rate,spearman,-0.1759,0.013637,196,True,accessibility_tree
wab_score,avg_steps,spearman,0.0894,0.212657,196,False,accessibility_tree
wab_score,avg_duration,spearman,0.0151,0.833583,196,False,accessibility_tree
total_violations,success_rate,spearman,-0.0154,0.83009,196,False,accessibility_tree
total_violations,avg_steps,spearman,-0.0396,0.581606,196,False,accessibility_tree
total_violations,avg_duration,spearman,0.0383,0.593595,196,False,accessibility_tree
compliance_score,success_rate,spearman,0.2965,2.4e-05,196,True,dom
compliance_score,avg_steps,spearman,-0.2142,0.002576,196,True,dom
compliance_score,avg_duration,spearman,0.0589,0.412518,196,False,dom
violation_rate,success_rate,spearman,-0.2965,2.4e-05,196,True,dom
violation_rate,avg_steps,spearman,0.2142,0.002576,196,True,dom
violation_rate,avg_duration,spearman,-0.0589,0.412518,196,False,dom
wab_score,success_rate,spearman,-0.1193,0.095935,196,False,dom
wab_score,avg_steps,spearman,0.0575,0.423221,196,False,dom
wab_score,avg_duration,spearman,0.0277,0.699799,196,False,dom
total_violations,success_rate,spearman,0.0299,0.677803,196,False,dom
total_violations,avg_steps,spearman,-0.0613,0.393312,196,False,dom
total_violations,avg_duration,spearman,0.0992,0.166731,196,False,dom
compliance_score,success_rate,spearman,0.281,6.6e-05,196,True,screenshot
compliance_score,avg_steps,spearman,-0.2461,0.000508,196,True,screenshot
compliance_score,avg_duration,spearman,-0.0064,0.929197,196,False,screenshot
violation_rate,success_rate,spearman,-0.281,6.6e-05,196,True,screenshot
violation_rate,avg_steps,spearman,0.2461,0.000508,196,True,screenshot
violation_rate,avg_duration,spearman,0.0064,0.929197,196,False,screenshot
wab_score,success_rate,spearman,-0.1089,0.128738,196,False,screenshot
wab_score,avg_steps,spearman,0.1098,0.125389,196,False,screenshot
wab_score,avg_duration,spearman,0.0819,0.253671,196,False,screenshot
total_violations,success_rate,spearman,0.0152,0.832452,196,False,screenshot
total_violations,avg_steps,spearman,-0.0004,0.995267,196,False,screenshot
total_violations,avg_duration,spearman,0.154,0.031163,196,True,screenshot
