feature,importance_mean,importance_std
compliance_score,0.07244897959183669,0.02267970486825804
wab_score,0.012244897959183609,0.0033843110105667516
rule_target-size,0.010714285714285643,0.004813255679620713
total_violations,0.00816326530612237,0.0024994793293705653
rule_meta-refresh,0.007142857142857095,0.008895712129674835
rule_image-alt,0.005612244897959129,0.002747533064864516
rule_role-img-alt,0.005102040816326481,0.0
rule_html-has-lang,0.005102040816326481,0.0032268139389472943
rule_aria-required-children,0.004591836734693833,0.0015306122448979441
impact_serious,0.004081632653061185,0.0030612244897958883
rule_color-contrast,0.0035714285714285366,0.002338048823957038
rule_link-name,0.0035714285714285366,0.002338048823957038
level_AA,0.0015306122448979441,0.002338048823957038
impact_critical,0.0015306122448979441,0.002338048823957038
level_A,0.0005102040816326481,0.0015306122448979441
rule_aria-allowed-attr,0.0005102040816326481,0.0015306122448979441
rule_select-name,0.0,0.0
rule_listitem,0.0,0.0
rule_frame-title,0.0,0.0
rule_aria-roles,0.0,0.0
rule_scrollable-region-focusable,0.0,0.0
rule_link-in-text-block,0.0,0.0
rule_aria-required-parent,0.0,0.0
rule_aria-required-attr,0.0,0.0
rule_aria-valid-attr,0.0,0.0
rule_aria-progressbar-name,0.0,0.0
rule_definition-list,0.0,0.0
rule_svg-img-alt,0.0,0.0
rule_document-title,0.0,0.0
rule_nested-interactive,0.0,0.0
rule_aria-prohibited-attr,0.0,0.0
rule_aria-toggle-field-name,0.0,0.0
rule_aria-hidden-focus,0.0,0.0
rule_meta-viewport,0.0,0.0
rule_label,0.0,0.0
rule_button-name,0.0,0.0
rule_list,0.0,0.0
rule_aria-valid-attr-value,0.0,0.0
rule_aria-command-name,0.0,0.0
