domain,name,sector,url,tranco_rank,compliance_score,compliance_bin
amazon.com,Amazon,ecommerce,https://www.amazon.com,24,0.9166666666666666,high
shopify.com,Shopify,ecommerce,https://www.shopify.com,164,0.90625,high
booking.com,Booking.com,ecommerce,https://www.booking.com,262,0.96875,high
etsy.com,Etsy,ecommerce,https://www.etsy.com,284,1.0,high
temu.com,Temu,ecommerce,https://www.temu.com,378,0.9375,high
walmart.com,Walmart,ecommerce,https://www.walmart.com,397,1.0,high
shein.com,SHEIN,ecommerce,https://www.shein.com,496,0.9333333333333333,high
target.com,Target,ecommerce,https://www.target.com,586,1.0,high
ikea.com,IKEA,ecommerce,https://www.ikea.com,609,1.0,high
nike.com,Nike,ecommerce,https://www.nike.com,633,0.962962962962963,high
homedepot.com,Home Depot,ecommerce,https://www.homedepot.com,741,0.9375,high
bestbuy.com,Best Buy,ecommerce,https://www.bestbuy.com,745,0.9375,high
airbnb.com,Airbnb,ecommerce,https://www.airbnb.com,893,0.9666666666666667,high
ebay.com,eBay,ecommerce,https://www.ebay.com,199,0.8857142857142857,medium
hm.com,H&M,ecommerce,https://www.hm.com,939,0.75,medium
lowes.com,Lowe's,ecommerce,https://www.lowes.com,950,0.75,medium
macys.com,Macy's,ecommerce,https://www.macys.com,1031,0.75,medium
adidas.com,Adidas,ecommerce,https://www.adidas.com,2813,0.7142857142857143,medium
asos.com,ASOS,ecommerce,https://www.asos.com,3359,0.75,medium
zara.com,Zara,ecommerce,https://www.zara.com,3646,0.75,medium
gap.com,Gap,ecommerce,https://www.gap.com,3920,0.8709677419354839,medium
sephora.com,Sephora,ecommerce,https://www.sephora.com,4068,0.75,medium
newegg.com,Newegg,ecommerce,https://www.newegg.com,4806,0.8787878787878788,medium
overstock.com,Overstock,ecommerce,https://www.overstock.com,,0.84,medium
wish.com,Wish,ecommerce,https://www.wish.com,,0.8857142857142857,medium
dhgate.com,DHgate,ecommerce,https://www.dhgate.com,,0.75,medium
aliexpress.com,AliExpress,ecommerce,https://www.aliexpress.com,476,0.4,low
expedia.com,Expedia,ecommerce,https://www.expedia.com,2023,0.9444444444444444,high
uniqlo.com,Uniqlo,ecommerce,https://www.uniqlo.com,3695,0.9642857142857143,high
chewy.com,Chewy,ecommerce,https://www.chewy.com,3877,0.96,high
nordstrom.com,Nordstrom,ecommerce,https://www.nordstrom.com,4202,1.0,high
zappos.com,Zappos,ecommerce,https://www.zappos.com,4226,0.96875,high
trivago.com,Trivago,ecommerce,https://www.trivago.com,,0.9285714285714286,high
banggood.com,Banggood,ecommerce,https://www.banggood.com,,0.76,medium
6pm.com,6pm,ecommerce,https://www.6pm.com,,1.0,high
jcpenney.com,JCPenney,ecommerce,https://www.jcpenney.com,,0.75,medium
kohls.com,Kohl's,ecommerce,https://www.kohls.com,,0.75,medium
forever21.com,Forever 21,ecommerce,https://www.forever21.com,,0.9393939393939394,high
urbanoutfitters.com,Urban Outfitters,ecommerce,https://www.urbanoutfitters.com,,1.0,high
anthropologie.com,Anthropologie,ecommerce,https://www.anthropologie.com,,0.9,high
mit.edu,MIT,education,https://www.mit.edu,226,0.9333333333333333,high
harvard.edu,Harvard,education,https://www.harvard.edu,308,1.0,high
